Question,Answer
شرایط تاجر بودن چیست؟,تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1)
خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,"برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2)"
"انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟","عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2)"
تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,برای رفع حوائج شخصی نباشد. (ماده 2)
چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3)
دفاتری که تاجر باید داشته باشد کدامند؟,"دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6)"
دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,"مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7)"
دفتر کل چگونه باید تنظیم شود؟,کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8)
دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9)
نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10)
"قبل از استفاده، کدام دفاتر باید توسط نماینده اداره ثبت امضا شوند؟",دفاتر مذکور در ماده 6 به استثناء دفتر کپیه. (ماده 11)
"چه مواردی در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید رعایت شود؟",دارای نمره ترتیبی و قیطان کشیده باشد و صفحات آن شمرده شود. (ماده 12)
ممنوعیت‌هایی در نگهداری دفاتر چه هستند؟,"تراشیدن، حک‌کردن، جای سفید گذاشتن بیش از حد معمول، و در حاشیه یا بین سطور نوشتن ممنوع است. (ماده 13)"
دفاتر مطابق مقررات چه اعتباری دارند؟,بین تجار در امور تجارتی سندیت دارند. (ماده 14)
تخلف از کدام مواد مستلزم جزای نقدی است؟,تخلف از ماده 6 و ماده 11. (ماده 15)
چه کسانی باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند؟,"کلیه اشخاصی که به شغل تجارت اشتغال دارند، اعم از ایرانی و خارجی با استثنای کسبه جزء. (ماده 16)"
وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی چیست؟,مقررات مربوط به دفتر ثبت تجارتی را معین می‌کند. (ماده 17)
تاجر باید چه اطلاعاتی را در اسناد خود ذکر کند؟,تصریح نماید که تحت چه نمره‌ای به ثبت رسیده. (ماده 18)
شناسایی کسبه جزء در چه صورتی انجام می‌گیرد؟,مطابق مقررات نظامنامه وزارت عدلیه. (ماده 19)
انواع شرکت‌های تجارتی کدامند؟,"شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف. (ماده 20)"
به چه شرطی شخص حقوقی عضو هیئت مدیره میتواند نماینده خود را عزل کند؟,به شرط آنکه درهمان موقع جانشین او را کتباً به شرکت معرفی نماید وگرنه غایب محسوب میشود. (ماده 110)
شركت با مسئوليت محدود چه شركتي است؟,شركتي است كه بين دو يا چند نفر براي امور تجارتي تشكيل شده و هر يك از شركاء بدون اينكه سرمايه بسهام يا قطعات سهام تقسيم شده باشد - فقط تا ميزان سرمايه خود در شركت مسئول قروض و تعهدات شركت است. (ماده 94)
"به چه شرکتی، شركت مختلط غير سهامي می گویند؟",شركتي است كه براي امور تجارتي در تحت اسم مخصوصي بين يك يا چند نفر شريك ضامن و يك يا چند ‌نفر شريك با مسئوليت محدود بدون انتشار سهام تشكيل مي شود. (ماده 141)
شرکت تضامنی در چه صورتی می تواند تبدیل به شرکت سهمی شود؟,با تصويب تمام شركاء (ماده 135)
"چه زمانی می توان شخصاً براي قروض شركت، شريک ضامن را تعقيب نمود؟",زمانی که آن شرکت منحل شده باشد. (ماده 151)
"مسئولیت شرکاء در تأديه قروض شركت نسبي در صورت عدم دارایی کافی شرکت، به چه صورت است؟",اگر دارائي شركت نسبي براي تأديه تمام قروض شركت كافي نباشد هر يك از شركاء بنسبت سرماية كه در شركت داشته مسئول تأديه ‌قروض شركت است. (ماده 186)
متصديان تصفيه حق دارند چگونه از طرف شركت محاكمه كنند.؟,"شخصاً يا توسط وكيل. (ماده 209)"
در قبولی برات چگونه تاریخ قبولی مشخص می‌شود؟,‌در صورتيكه برات بوعده از رؤيت باشد تاريخ قبولي با تمام حروف نوشته خواهد شد - اگر قبولي بدون تاريخ نوشته شد تاريخ برات تاريخ رؤيت ‌حساب مي شود. (ماده 228)
فته ‌طلب چه نوع سندی است؟,سندي است كه بموجب آن امضاء كننده تعهد ميكند مبلغي در موعد معين يا عندالمطالبه در وجه حامل يا شخص معين و يا ‌بحواله‌كرد آن شخص كارسازي نمايد. (ماده 307)
