Question,Answer,Madde,Predicted_Madde,MRR
شرایط تاجر بودن چیست؟,تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1),[1],"[450, 444, 101, 60, 517]",0.0
خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2),[2],"[356, 3, 133, 7, 335]",0.0
انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟,عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2),[2],"[1, 4, 5, 335, 3]",0.0
تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,برای رفع حوائج شخصی نباشد. (ماده 2),[2],"[335, 131, 367, 5, 146]",0.0
چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3),[3],"[4, 5, 335, 1, 3]",0.2
دفاتری که تاجر باید داشته باشد کدامند؟,دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6),[6],"[81, 168, 297, 270, 95]",0.0
دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7),[7],"[59, 249, 192, 227, 209]",0.0
دفتر کل چگونه باید تنظیم شود؟,کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8),[8],"[9, 66, 169, 69, 58]",0.0
دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9),[9],"[249, 57, 7, 228, 9]",0.2
نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10),[10],[10],1.0
قبل از استفاده، کدام دفاتر باید توسط نماینده اداره ثبت امضا شوند؟,دفاتر مذکور در ماده 6 به استثناء دفتر کپیه. (ماده 11),[11],"[9, 11]",0.5
چه مواردی در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید رعایت شود؟,دارای نمره ترتیبی و قیطان کشیده باشد و صفحات آن شمرده شود. (ماده 12),[12],[12],1.0
ممنوعیت‌هایی در نگهداری دفاتر چه هستند؟,تراشیدن، حک‌کردن، جای سفید گذاشتن بیش از حد معمول، و در حاشیه یا بین سطور نوشتن ممنوع است. (ماده 13),[13],"[168, 135, 170, 241, 297]",0.0
دفاتر مطابق مقررات چه اعتباری دارند؟,بین تجار در امور تجارتی سندیت دارند. (ماده 14),[14],"[180, 193, 159, 292, 72]",0.0
تخلف از کدام مواد مستلزم جزای نقدی است؟,تخلف از ماده 6 و ماده 11. (ماده 15),[15],"[471, 571, 545, 588, 79]",0.0
چه کسانی باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند؟,کلیه اشخاصی که به شغل تجارت اشتغال دارند، اعم از ایرانی و خارجی با استثنای کسبه جزء. (ماده 16),[16],[16],1.0
وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی چیست؟,مقررات مربوط به دفتر ثبت تجارتی را معین می‌کند. (ماده 17),[17],"[584, 399, 397, 118, 600]",0.0
تاجر باید چه اطلاعاتی را در اسناد خود ذکر کند؟,تصریح نماید که تحت چه نمره‌ای به ثبت رسیده. (ماده 18),[18],"[243, 9, 267, 7, 263]",0.0
شناسایی کسبه جزء در چه صورتی انجام می‌گیرد؟,مطابق مقررات نظامنامه وزارت عدلیه. (ماده 19),[19],"[34, 68, 160, 346, 35]",0.0
انواع شرکت‌های تجارتی کدامند؟,شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف. (ماده 20),[20],"[16, 220, 594, 284, 285]",0.0
به چه شرطی شخص حقوقی عضو هیئت مدیره میتواند نماینده خود را عزل کند؟,به شرط آنکه درهمان موقع جانشین او را کتباً به شرکت معرفی نماید وگرنه غایب محسوب میشود. (ماده 110),[110],[110],1.0
شركت با مسئوليت محدود چه شركتي است؟,شركتي است كه بين دو يا چند نفر براي امور تجارتي تشكيل شده و هر يك از شركاء بدون اينكه سرمايه بسهام يا قطعات سهام تقسيم شده باشد - فقط تا ميزان سرمايه خود در شركت مسئول قروض و تعهدات شركت است. (ماده 94),[94],"[145, 154, 104, 148, 96]",0.0
به چه شرکتی، شركت مختلط غير سهامي می گویند؟,شركتي است كه براي امور تجارتي در تحت اسم مخصوصي بين يك يا چند نفر شريك ضامن و يك يا چند ‌نفر شريك با مسئوليت محدود بدون انتشار سهام تشكيل مي شود. (ماده 141),[141],"[20, 161, 181, 294, 172]",0.0
شرکت تضامنی در چه صورتی می تواند تبدیل به شرکت سهمی شود؟,با تصويب تمام شركاء (ماده 135),[135],"[471, 104, 160, 468, 526]",0.0
چه زمانی می توان شخصاً براي قروض شركت، شريک ضامن را تعقيب نمود؟,زمانی که آن شرکت منحل شده باشد. (ماده 151),[151],"[45, 267, 319, 46, 244]",0.0
مسئولیت شرکاء در تأديه قروض شركت نسبي در صورت عدم دارایی کافی شرکت، به چه صورت است؟,اگر دارائي شركت نسبي براي تأديه تمام قروض شركت كافي نباشد هر يك از شركاء بنسبت سرماية كه در شركت داشته مسئول تأديه ‌قروض شركت است. (ماده 186),[186],"[232, 131, 129, 162, 279]",0.0
