Question,Answer,Madde,Predicted_Madde,MRR
شرایط تاجر بودن چیست؟,تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1),[1],[1],1.0
خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2),[2],"[4, 54, 2]",0.3333333333333333
انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟,عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2),[2],"[4, 1, 5, 3, 7]",0.0
تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,برای رفع حوائج شخصی نباشد. (ماده 2),[2],"[1, 4, 54, 2]",0.25
چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3),[3],[3],1.0
دفاتری که تاجر باید داشته باشد کدامند؟,دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6),[6],"[438, 7, 10, 8, 9]",0.0
دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7),[7],[7],1.0
دفتر کل چگونه باید تنظیم شود؟,کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8),[8],"[438, 7, 10, 9, 100]",0.0
دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9),[9],"[438, 7, 9]",0.3333333333333333
نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10),[10],[10],1.0
قبل از استفاده، کدام دفاتر باید توسط نماینده اداره ثبت امضا شوند؟,دفاتر مذکور در ماده 6 به استثناء دفتر کپیه. (ماده 11),[11],"[438, 12, 205, 11]",0.25
چه مواردی در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید رعایت شود؟,دارای نمره ترتیبی و قیطان کشیده باشد و صفحات آن شمرده شود. (ماده 12),[12],[12],1.0
ممنوعیت‌هایی در نگهداری دفاتر چه هستند؟,تراشیدن، حک‌کردن، جای سفید گذاشتن بیش از حد معمول، و در حاشیه یا بین سطور نوشتن ممنوع است. (ماده 13),[13],"[438, 13]",0.5
دفاتر مطابق مقررات چه اعتباری دارند؟,بین تجار در امور تجارتی سندیت دارند. (ماده 14),[14],"[6, 438, 549, 446, 11]",0.0
تخلف از کدام مواد مستلزم جزای نقدی است؟,تخلف از ماده 6 و ماده 11. (ماده 15),[15],"[548, 554, 546, 559, 521]",0.0
چه کسانی باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند؟,کلیه اشخاصی که به شغل تجارت اشتغال دارند، اعم از ایرانی و خارجی با استثنای کسبه جزء. (ماده 16),[16],[16],1.0
وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی چیست؟,مقررات مربوط به دفتر ثبت تجارتی را معین می‌کند. (ماده 17),[17],"[438, 576, 17]",0.3333333333333333
تاجر باید چه اطلاعاتی را در اسناد خود ذکر کند؟,تصریح نماید که تحت چه نمره‌ای به ثبت رسیده. (ماده 18),[18],"[10, 7, 438, 9, 413]",0.0
شناسایی کسبه جزء در چه صورتی انجام می‌گیرد؟,مطابق مقررات نظامنامه وزارت عدلیه. (ماده 19),[19],"[375, 4, 8, 20, 5]",0.0
انواع شرکت‌های تجارتی کدامند؟,شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف. (ماده 20),[20],"[583, 4, 3, 20]",0.25
به چه شرطی شخص حقوقی عضو هیئت مدیره میتواند نماینده خود را عزل کند؟,به شرط آنکه درهمان موقع جانشین او را کتباً به شرکت معرفی نماید وگرنه غایب محسوب میشود. (ماده 110),[110],"[398, 112, 131, 205, 209]",0.0
شركت با مسئوليت محدود چه شركتي است؟,شركتي است كه بين دو يا چند نفر براي امور تجارتي تشكيل شده و هر يك از شركاء بدون اينكه سرمايه بسهام يا قطعات سهام تقسيم شده باشد - فقط تا ميزان سرمايه خود در شركت مسئول قروض و تعهدات شركت است. (ماده 94),[94],[94],1.0
به چه شرکتی، شركت مختلط غير سهامي می گویند؟,شركتي است كه براي امور تجارتي در تحت اسم مخصوصي بين يك يا چند نفر شريك ضامن و يك يا چند ‌نفر شريك با مسئوليت محدود بدون انتشار سهام تشكيل مي شود. (ماده 141),[141],[141],1.0
شرکت تضامنی در چه صورتی می تواند تبدیل به شرکت سهمی شود؟,با تصويب تمام شركاء (ماده 135),[135],[135],1.0
چه زمانی می توان شخصاً براي قروض شركت، شريک ضامن را تعقيب نمود؟,زمانی که آن شرکت منحل شده باشد. (ماده 151),[151],[151],1.0
مسئولیت شرکاء در تأديه قروض شركت نسبي در صورت عدم دارایی کافی شرکت، به چه صورت است؟,اگر دارائي شركت نسبي براي تأديه تمام قروض شركت كافي نباشد هر يك از شركاء بنسبت سرماية كه در شركت داشته مسئول تأديه ‌قروض شركت است. (ماده 186),[186],[186],1.0
متصديان تصفيه حق دارند چگونه از طرف شركت محاكمه كنند.؟,شخصاً يا توسط وكيل. (ماده 209),[209],[209],1.0
در قبولی برات چگونه تاریخ قبولی مشخص می‌شود؟,‌در صورتيكه برات بوعده از رؤيت باشد تاريخ قبولي با تمام حروف نوشته خواهد شد - اگر قبولي بدون تاريخ نوشته شد تاريخ برات تاريخ رؤيت ‌حساب مي شود. (ماده 228),[228],[228],1.0
فته ‌طلب چه نوع سندی است؟,سندي است كه بموجب آن امضاء كننده تعهد ميكند مبلغي در موعد معين يا عندالمطالبه در وجه حامل يا شخص معين و يا ‌بحواله‌كرد آن شخص كارسازي نمايد. (ماده 307),[307],"[262, 438, 320, 487, 263]",0.0
,,,Average MRR,0.5258620689655172
