,question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_recall,context_precision,answer_correctness
0,شرایط تاجر بودن چیست؟,شرایط تاجر بودن شامل انجام معاملات تجاری به صورت شغل معمولی، انجام معاملات با تجار، کسبه، صرافان، بانک‌ها، انجام معاملات برای حوائج تجارتی خود یا امور تجارتی ارباب خود، و شرکت در معاملات شرکت‌های تجارتی می‌باشد.,"['ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n']",تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1),0.0,0.9662487551828528,1.0,0.99999999995,0.8955666603237435
1,خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,خرید یا تحصیل مال منقول برای منظور فروش یا اجاره جزء معاملات تجارتی محسوب می‌شود.,"['ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\n'
 'ماده 54(الحاقي 24ˏ12ˏ1347)- پذيرهنويسي و خريد اوراق قرضه عمل تجاري نميباشد.\n\n\n'
 'ماده 2 - معاملات تجارتي از قرار ذيل است:\n\n1) خريد يا تحصيل هر نوع مال منقول بقصد فروش يا اجاره اعم از اينكه تصرفاتي در آن شده يا نشده باشد.\n\n2) تصدي به حمل و نقل از راه خشكي يا آب يا هوا بهر نحوي كه باشد.\n\n3) هر قسم عمليات دلالي يا حقالعمل كاري (كميسيون) و يا عاملي و همچنين تصدي بهر نوع تأسيساتي كه براي انجام بعضي امور ايجاد ميشود از قبيل تسهيل معاملات ملكي يا پيدا كردن خدمه يا تهيه و رسانيدن ملزومات و غيره.\n\n4) تأسيس و به كار انداختن هر قسم كارخانه مشروط بر اينكه براي رفع حوائج شخصي نباشد.\n\n5) تصدي بعمليات حراجي.\n\n6) تصدي بهر قسم نمايشگاههاي عمومي.\n\n7) هر قسم عمليات صرافي و بانكي.\n\n8) معاملات برواتي اعم از اينكه بين تاجر يا غير تاجر باشد.\n\n9) عمليات بيمه بحري و غير بحري\n\n10) كشتي سازي و خريد و فروش كشتي و كشتيراني داخلي يا خارجي و معاملات راجعه به آنها.\n\n']",برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2),1.0,0.9180358904922308,1.0,0.3333333333,0.7286394885973545
2,انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟,همه معاملات تجارتی محسوب می‌شوند مگر اینکه ثابت شود معامله مربوط به امور تجارتی نیست.,"['ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\n'
 'ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 5 - كليه معاملات تجار تجارتي محسوب است مگر اينكه ثابت شود معامله مربوط بامور تجارتي نيست.\n\nباب دوم\nدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول - دفاتر تجارتي\n\n']",عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2),0.5,0.892478837562742,1.0,0.3333333333,0.8575408285573478
3,تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,تأسیس و به کار انداختن کارخانه جزء معاملات تجارتی محسوب می‌شود.,"['ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\n'
 'ماده 54(الحاقي 24ˏ12ˏ1347)- پذيرهنويسي و خريد اوراق قرضه عمل تجاري نميباشد.\n\n\n']",برای رفع حوائج شخصی نباشد. (ماده 2),0.0,0.9262331431200413,0.0,0.0,0.706670787269886
4,چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه تجارتی محسوب می‌شود.,"['ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n'
 'ماده 1 - تاجر كسي است كه شغل معمولي خود را معاملات تجارتي قرار بدهد.\n\n'
 'ماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (از قبيل خريد و فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود برداشت ميكند در آن دفتر ثبت نمايد.\n\n']",کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3),,0.9453617302188667,1.0,0.9999999999666667,0.7372304214820947
5,دفاتری که تاجر باید داشته باشد کدامند؟,"1. دفتر روزنامه
2. دفتر کپیه","['ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'
 'ماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (از قبيل خريد و فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود برداشت ميكند در آن دفتر ثبت نمايد.\n\n'
 'ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n']",دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6),1.0,0.7485759065142714,0.75,0.9999999999666667,0.7328882066280918
6,دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,دفتر روزنامه باید همه روزه مطالبات و دیون و داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و بطور کلی جمیع واردات و صادرات تجارتی خود را بهر اسم و رسمی که باشد و وجوهی را که برای مخارج شخصی خود برداشت می‌کند در آن دفتر ثبت نماید.,"['ماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (از قبيل خريد و فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود برداشت ميكند در آن دفتر ثبت نمايد.\n\n'
 'ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n'
 'ماده 12 - دفتري كه براي امضاء بمتصدي امضاء تسليم ميشود بايد داراي نمره ترتيبي و قيطان كشيده باشد و متصدي امضاء مكلف است صفحات دفتر را شمرده در صفحه اول و آخر هر دفتر مجموع عدد صفحات آنرا با تصريح باسم و رسم صاحب دفتر نوشته با قيد تاريخ امضاء و دو طرف قيطان را با مهر سربي كه وزارت عدليه براي اين مقصود تهيه مينمايد منگنه كند. لازم است كليه اعداد حتي تاريخ با تمام حروف نوشته شود.\n\n']",مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7),1.0,0.8117213624735392,1.0,0.99999999995,0.7282942526844244
7,دفتر کل چگونه باید تنظیم شود؟,باید تنظیم شود.,[],کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8),,0.0,1.0,0.0,0.20524509498149954
8,دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,دفتر دارایی شامل اسناد، نوشتجات، اسباب و اثاثیه تجارتخانه و منزل تاجر است که باید مهر موم شود.,['ماده 438 - انبارها و حجرهها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.\n\n'],صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9),1.0,0.9500563365621756,0.0,0.0,0.2136970089442604
9,نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,مراسلات و مخابرات باید توسط تاجر در دفتر کپیه به ترتیب تاریخ ثبت شوند.,['ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورتحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\nتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.\n\n'],کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10),1.0,0.9014917367973639,1.0,0.9999999999,0.7331642089527834
