,question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_recall,context_precision,answer_correctness
0,شرایط تاجر بودن چیست؟,شرایط تاجر بودن شامل انجام معاملات باعتبار تاجر بودن متعاملین یا یکی از آنها، انجام معاملات برای حوائج تجارتی خود، انجام معاملات برای امور تجارتی ارباب خود و انجام معاملات با تجار، کسبه، صرافان و بانک‌ها می‌باشد.,['ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود: 1) كليه معاملات بين تجار و كسبه و صرافان و بانكها. 2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد. 3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد. 4) كليه'],تاجر کسی است که شغل معمولی خود را معاملات تجارتی قرار دهد. (ماده 1),1.0,0.9088042428635842,1.0,0.0,0.8713178049154227
1,خرید یا تحصیل مال منقول برای چه منظوری جزء معاملات تجارتی محسوب می‌شود؟,برای فروش یا اجاره,"['ماده 2 - معاملات تجارتي از قرار ذيل است:\n\n1) خريد يا تحصيل هر نوع مال منقول بقصد فروش يا اجاره اعم از اينكه تصرفاتي در آن شده يا نشده باشد.\n\n2) تصدي به حمل و نقل از راه خشكي يا آب يا هوا بهر نحوي كه باشد.'
 '\u200cماده 373 - اگر حق\u200cالعمل\u200c كار مأمور بخريد يا فروش مال\u200c التجاره يا اسناد تجارتي و يا ساير اوراق بهاداري باشد كه مظنه بورسي يا بازاري دارد\u200c ميتواند چيزي را كه مأمور بخريد آن بوده خود شخصاً بعنوان فروشنده تسليم بكند و يا چيزيرا كه مأمور بفروش آن بوده شخصاً بعنوان \u200cخريدار نگاهدارد مگر اينكه آمر دستور'
 'ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود: 1) كليه معاملات بين تجار و كسبه و صرافان و بانكها. 2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد. 3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد. 4) كليه']",برای فروش یا اجاره، چه تصرفاتی در آن شده باشد یا نشده باشد. (ماده 2),1.0,0.0,1.0,0.9999999999,0.7287245258988038
2,انواع عملیاتی که جزء معاملات تجارتی محسوب می‌شوند، کدامند؟,"1) معاملات بین تجار و کسبه و صرافان و بانک‌ها
2) معاملاتی که تاجر یا غیر تاجر برای حوائج تجارتی خود انجام می‌دهند
3) معاملاتی که اجزاء یا خدمه یا شاگرد تاجر برای امور تجارتی ارباب خود انجام می‌دهند","['ماده 4 - معاملات غير منقول بهيچوجه تجارتي محسوب نميشود.\n\nماده 5 - كليه معاملات تجار تجارتي محسوب است مگر اينكه ثابت شود معامله مربوط بامور تجارتي نيست.\n\nباب دوم \u200cدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول\n\nدفاتر تجارتي'
 '\u200cماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (\u200cاز قبيل خريد و\u200c فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود \u200cبرداشت ميكند در آن دفتر ثبت نمايد.'
 'ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود: 1) كليه معاملات بين تجار و كسبه و صرافان و بانكها. 2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد. 3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد. 4) كليه']",عملیات دلالی، حق‌العمل‌کاری، عاملی و تأسیسات مربوط به انجام بعضی امور. (ماده 2),1.0,0.8169242766928054,1.0,0.8333333332916666,0.2197511599281381
3,تأسیس و به کار انداختن کارخانه تحت چه شرایطی جزء معاملات تجارتی است؟,با توجه به متن بالا، تأسیس و به کار انداختن کارخانه جزء معاملات تجارتی است که نیاز به انجام معاملات مالی، قانونی و اداری دارد.,[],برای رفع حوائج شخصی نباشد. (ماده 2),1.0,0.0,0.0,0.0,0.2027271840675749
4,چه نوع معاملاتی بین تجار و کسبه تجارتی محسوب می‌شود؟,کلیه معاملات بین تجار و کسبه تجارتی محسوب می‌شود.,"['ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود: 1) كليه معاملات بين تجار و كسبه و صرافان و بانكها. 2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد. 3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد. 4) كليه'
 '\u200cماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (\u200cاز قبيل خريد و\u200c فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود \u200cبرداشت ميكند در آن دفتر ثبت نمايد.'
 'ماده 356 - هر دلال بايد دفتري داشته و كليه معاملاتي را كه بدلالي او انجام گرفته بترتيب ذيل در آن ثبت نمايد: 1) اسم متعاملين. 2) مالي كه موضوع معامله است. 3) نوع معامله. 4) شرايط معامله با تشخيص باينكه تسليم موضوع معامله فوري است يا بوعده است. 5) عوض مالي كه بايد پرداخته شود و تشخيص اينكه فوري است']",کلیه معاملات بین تجار و کسبه و صرافان و بانک‌ها. (ماده 3),1.0,0.8051819820970264,1.0,0.8333333332916666,0.7372354914719368
5,دفاتری که تاجر باید داشته باشد کدامند؟,"1) دفتر روزنامه
2) دفتر کل
3) دفتر دارائی
4) دفتر کپیه","['ماده 438 - انبارها و حجره\u200cها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.'
 'باب دوم \u200cدفاتر تجارتي و دفتر ثبت تجارتي\n\nفصل اول\n\nدفاتر تجارتي\n\nماده 6 - هر تاجري به استثناي كسبه جزء مكلف است دفاتر ذيل يا دفاتر ديگري را كه وزارت عدليه بموجب نظامنامه قائم\u200cمقام اين دفاتر قرار\u200cميدهد داشته باشد: 1) دفتر روزنامه. 2) دفتر كل. 3) دفتر دارائي. 4) دفتر كپيه.'
 '\u200cماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (\u200cاز قبيل خريد و\u200c فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود \u200cبرداشت ميكند در آن دفتر ثبت نمايد.']",دفتر روزنامه، دفتر کل، دفتر دارایی، و دفتر کپیه. (ماده 6),0.75,0.7452248267745935,1.0,0.9999999999666668,0.9859022629151462
6,دفتر روزنامه چه نوع اطلاعاتی را باید ثبت کند؟,دفتر روزنامه باید همه روزه مطالبات و دیون و داد و ستد تجارتی و معاملات راجع به اوراق تجارتی، واردات و صادرات تجارتی، و وجوهی که برای مخارج شخصی خود برداشت می‌کند را به صورت رسمی ثبت کند.,"['\u200cماده 7 - دفتر روزنامه دفتري است كه تاجر بايد همه روزه مطالبات و ديون و داد و ستد تجارتي و معاملات راجع به اوراق تجارتي (\u200cاز قبيل خريد و\u200c فروش و ظهرنويسي) و بطور كلي جميع واردات و صادرات تجارتي خود را بهر اسم و رسمي كه باشد و وجوهي را كه براي مخارج شخصي خود \u200cبرداشت ميكند در آن دفتر ثبت نمايد.'
 'ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورت\u200cحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\n\u200cتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت\u200c حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.'
 'ماده 8 - دفتر كل دفتري است كه تاجر بايد كليه معاملات را لااقل هفته يكمرتبه از دفتر روزنامه استخراج و انواع مختلفه آن را تشخيص و جدا \u200cكرده هر نوعي را در صفحه مخصوصي در آن دفتر بطور خلاصه ثبت كند.']",مطالبات، دیون، داد و ستد تجارتی و معاملات راجع به اوراق تجارتی و جمیع واردات و صادرات تجارتی. (ماده 7),0.6666666666666666,0.9510088886871758,1.0,0.9999999999666668,0.7323490968742212
7,دفتر کل چگونه باید تنظیم شود؟,متن ارائه شده خالی است، بنابراین نیازی به تنظیم دفتر کل نیست.,[],کلیه معاملات را لااقل هفته یک مرتبه از دفتر روزنامه استخراج و ثبت کند. (ماده 8),,0.0,1.0,0.0,0.2107525662046489
8,دفتر دارایی چه اطلاعاتی را شامل می‌شود؟,دفتر دارایی شامل اسناد، صورت حساب‌ها، توضیحات مورد نیاز، حساب‌های سود و زیان، ترازنامه و وضعیت مالی شرکت است.,"['شركت گواهي نمايند كه كليه دفاتر و اسناد و صورت حساب\u200cهاي شركت و\u200cتوضيحات مورد لزوم در اختيار آنها قرار داشته و حساب\u200cهاي سود و زيان و ترازنامه تنظيم شده از طرف هيأت مديره وضع مالي شركت را بنحو\u200cصحيح و روشن نشان ميدهد.'
 'ماده 438 - انبارها و حجره\u200cها و صندوق و اسناد و دفاتر و نوشتجات و اسباب و اثاثيه تجارتخانه و منزل تاجر بايد مهر موم شود.']",صورت جامعی از کلیه دارایی منقول و غیر منقول و دیون و مطالبات سال گذشته. (ماده 9),,0.9458223801656046,0.0,0.9999999999,0.7155070442004211
9,نحوه ثبت مراسلات و مخابرات در دفتر کپیه چگونه است؟,مراسلات و مخابرات باید توسط تاجر به ترتیب تاریخ ثبت شوند و در دفتر کپیه ضبط شوند.,['ماده 10 - دفتر كپيه دفتري است كه تاجر بايد كليه مراسلات و مخابرات و صورت\u200cحسابهاي صادره خود را در آن بترتيب تاريخ ثبت نمايد.\n\n\u200cتبصره - تاجر بايد كليه مراسلات و مخابرات و صورت\u200c حسابهاي وارده را نيز بترتيب تاريخ ورود مرتب نموده و در لفاف مخصوصي ضبط كند.'],کلیه مراسلات و مخابرات و صورت‌حساب‌های صادره باید ترتیب تاریخ ثبت شود. (ماده 10),1.0,0.7803362518831065,1.0,0.9999999999,0.7340815912389581
